,,---,(setup),(outro),Generic,Loop step,Case,Flats,Sky,Texcoord,Texture,Gap
x000p,Ceil  64   0  front,,80,0-32,10-98,28,22-24,0-100,,0-176,0-80,
x000,Ceil  64   0  front,,80,0-32,10-98,28,22-24,0-100,,0-36,0-80,
x001p,Ceil  64   0  CLIPPED,,80,0-32,10-98,28,22-24,0-124,,0-176,0-80,
x001,Ceil  64   0  CLIPPED,,80,0-32,10-98,28,22-24,0-124,,0-36,0-80,
x002p,Sky   64   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-176,0-80,
x002,Sky   64   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-36,0-80,
x003p,Sky   64   0  CLIPPED,,100,0-32,10-110,28,22-24,0-50,8-98,0-176,0-80,
x003,Sky   64   0  CLIPPED,,100,0-32,10-110,28,22-24,0-50,8-98,0-36,0-80,
x004p,Ceil 128   0  front,,80,0-32,10-98,28,22-24,0-100,,0-176,0-80,
x004,Ceil 128   0  front,,80,0-32,10-98,28,22-24,0-100,,0-36,0-80,
x005p,Ceil 128   0  CLIPPED,,80,0-32,10-110,28,22-36,0-124,,0-176,0-110,
x005,Ceil 128   0  CLIPPED,,80,0-32,10-110,28,22-36,0-124,,0-36,0-110,
x006p,Sky  128   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-176,0-80,
x006,Sky  128   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-36,0-80,
x007p,Sky  128   0  CLIPPED,,100,0-32,10-110,28,22-36,0-50,8-98,0-176,0-110,
x007,Sky  128   0  CLIPPED,,100,0-32,10-110,28,22-36,0-50,8-98,0-36,0-110,
x008p,Ceil 128  64  front,,80,0-32,10-78,28,22-24,0-108,,0-176,0-80,0-36
x008,Ceil 128  64  front,,80,0-32,10-78,28,22-24,0-108,,0-36,0-80,0-36
x009p,Ceil 128  64  CLIPPED,,80,0-32,10-90,28,22-36,0-132,,0-176,0-110,0-36
x009,Ceil 128  64  CLIPPED,,80,0-32,10-90,28,22-36,0-132,,0-36,0-110,0-36
x010p,Sky  128  64  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-176,0-80,0-36
x010,Sky  128  64  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-36,0-80,0-36
x011p,Sky  128  64  CLIPPED,,100,0-32,10-90,28,22-36,0-58,8-98,0-176,0-110,0-36
x011,Sky  128  64  CLIPPED,,100,0-32,10-90,28,22-36,0-58,8-98,0-36,0-110,0-36
x014p,Ceil  96   0  front,,80,0-32,10-98,28,22-24,0-100,,0-176,0-80,
x014,Ceil  96   0  front,,80,0-32,10-98,28,22-24,0-100,,0-36,0-80,
x015p,Ceil  96   0  CLIPPED,,80,0-32,10-110,28,22-36,0-124,,0-176,0-110,
x015,Ceil  96   0  CLIPPED,,80,0-32,10-110,28,22-36,0-124,,0-36,0-110,
x016p,Sky   96   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-176,0-80,
x016,Sky   96   0  front,,100,0-32,10-110,28,22-24,0-46,8-58,0-36,0-80,
x017p,Sky   96   0  CLIPPED,,100,0-32,10-110,28,22-36,0-50,8-98,0-176,0-110,
x017,Sky   96   0  CLIPPED,,100,0-32,10-110,28,22-36,0-50,8-98,0-36,0-110,
x018p,Ceil  96  64  front,,80,0-32,10-78,28,22-24,0-108,,0-176,0-80,0-36
x018,Ceil  96  64  front,,80,0-32,10-78,28,22-24,0-108,,0-36,0-80,0-36
x019p,Ceil  96  64  CLIPPED,,80,0-32,10-90,28,22-50,0-132,,0-176,0-110,0-36
x019,Ceil  96  64  CLIPPED,,80,0-32,10-90,28,22-50,0-132,,0-36,0-110,0-36
x020p,Sky   96  64  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-176,0-80,0-36
x020,Sky   96  64  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-36,0-80,0-36
x021p,Sky   96  64  CLIPPED,,100,0-32,10-90,28,22-50,0-58,8-98,0-176,0-110,0-36
x021,Sky   96  64  CLIPPED,,100,0-32,10-90,28,22-50,0-58,8-98,0-36,0-110,0-36
x022p,Ceil 128  96  front,,80,0-32,10-78,28,22-24,0-108,,0-176,0-80,0-36
x022,Ceil 128  96  front,,80,0-32,10-78,28,22-24,0-108,,0-36,0-80,0-36
x023p,Ceil 128  96  CLIPPED,,80,0-32,10-90,28,22-50,0-132,,0-176,0-110,0-36
x023,Ceil 128  96  CLIPPED,,80,0-32,10-90,28,22-50,0-132,,0-36,0-110,0-36
x024p,Sky  128  96  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-176,0-80,0-36
x024,Sky  128  96  front,,100,0-32,10-90,28,22-24,0-54,8-58,0-36,0-80,0-36
x025p,Sky  128  96  CLIPPED,,100,0-32,10-90,28,22-50,0-58,8-98,0-176,0-110,0-36
x025,Sky  128  96  CLIPPED,,100,0-32,10-90,28,22-50,0-58,8-98,0-36,0-110,0-36
